GMT_timestamp,local_timestamp,link,id,Code généré aléatoirement
2021-12-22_16:18:38,2021-12-22_17:18:38,https://www.testable.org/experiment/4303/589965/start,M099227,KwGkYbNjaPbDcyQh

rowNo,trialNo,type,head,responseOptions,required,pageBreak,pageName,separator,random,ITI_ms,timestamp,response,RT,responseCode
4,"1",form,"<b><center><font size=""5"">1. J'aime explorer de nouvelles idées.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Souvent,49354,"3"
5,"2",form,"<b><center><font size=""5"">2. Les problèmes conceptuels difficiles peuvent me tenir éveillé(e) toute la nuit à réfléchir à des solutions.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Souvent,49354,"3"
6,"3",form,"<b><center><font size=""5"">3. J'aime apprendre sur des sujets qui ne me sont pas familiers.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Presque toujours,49354,"4"
7,"4",form,"<b><center><font size=""5"">4. Je peux passer des heures sur un seul problème car je n'arrive pas à me reposer sans connaître la réponse.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Presque toujours,49354,"4"
8,"5",form,"<b><center><font size=""5"">5. Je trouve fascinant d'apprendre de nouvelles informations.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Souvent,49354,"3"
9,"6",form,"<b><center><font size=""5"">6. Je me sens frustré(e) si je n'arrive pas à trouver la solution d'un problème, alors je travaille encore plus dur pour le résoudre.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Souvent,49354,"3"
10,"7",form,"<b><center><font size=""5"">7. Quand j'apprends quelque chose de nouveau, j'aimerai en savoir plus à ce sujet.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Souvent,49354,"3"
11,"8",form,"<b><center><font size=""5"">8. Je broie du noir pendant un long moment lorsque j'essaie de résoudre un problème fondamental.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,De temps en temps,49354,"2"
12,"9",form,"<b><center><font size=""5"">9. J'aime discuter à propos de concepts abstraits.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","","","1","",,97868,Souvent,49354,"3"
13,"10",form,"<b><center><font size=""5"">10. Je travaille sans relâche sur des problèmes dont je pense qu'ils doivent être résolus.</b></center></font><br/>",Presque jamais;De temps en temps;Souvent;Presque toujours,"1","1","","1","",,97868,Souvent,49354,"3"
15,"11",form,"<b><center><font size=""5"">11. Quelles sont les plateformes d’information que vous utilisez ? Veuillez cocher une ou plusieurs cases.</b></center></font><br/>",Télévision;Radio;Journaux et magazines papier;Internet;Réseaux sociaux;Votre entourage,"1","","","1","",,169822,Télévision;Radio;Internet;Réseaux sociaux;Votre entourage,71259,1;2;4;5;6
16,"12",form,"<b><center><font size=""5"">12. A quelle fréquence consultez-vous des sources d'informations ? </b></center></font><br/>",Moins d'1 fois par semaine;1 fois par semaine;2 à 3 fois par semaine;4 à 5 fois parsemaine;1 fois par jour; 2 à 3 fois par jour; 4 à 5 fois par jour; Plus de 4 à 5 fois par jour,"1","","","1","",,169822,Plus de 4 à 5 fois par jour,71259,"8"
17,"13",form,"<b><center><font size=""5"">13. Combien de sources différentes de news consultez-vous régulièrement ? </b></center></font><br/>","","1","","","1","",,169822,"4",71259,NA
21,"16",form,"<b><center><font size=""5"">Sur les réseaux sociaux, à votre avis, quel est le pourcentage de fake\nnews quand l'information vient d'un médecin </b></center></font><br/>",0_100_1;0,"1","","","1","1",,169822,"59",71259,"59"
22,"17",form,"<b><center><font size=""5"">Sur les réseaux sociaux, à votre avis, quel est le pourcentage de fake\nnews quand l'information vient d'un chercheur </b></center></font><br/>",0_100_1;0,"1","","","1","1",,169822,"56",71259,"56"
23,"18",form,"<b><center><font size=""5"">Sur les réseaux sociaux, à votre avis, quel est le pourcentage de fake\nnews quand l'information vient d'un acteur de la justice sociale </b></center></font><br/>",0_100_1;0,"1","","","1","1",,169822,"48",71259,"48"
19,"14",form,"<b><center><font size=""5"">Sur les réseaux sociaux, à votre avis, quel est le pourcentage de fake news quand l'information vient d'un journaliste </b></center></font><br/>",0_100_1;0,"1","","","1","1",,169822,"55",71259,"55"
24,"19",form,"<b><center><font size=""5"">Sur les réseaux sociaux, à votre avis, quel est le pourcentage de fake\nnews quand l'information vient d'un acteur de l'écologie </b></center></font><br/>",0_100_1;0,"1","","","1","1",,169822,"77",71259,"77"
20,"15",form,"<b><center><font size=""5"">Sur les réseaux sociaux, à votre avis, quel est le pourcentage de fake\nnews quand l'information vient d'un politique </b></center></font><br/>",0_100_1;0,"1","","","1","1",,169822,"68",71259,"68"
